timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,eas2tas,calibration_count
630554206,630553234,6780433,18.48831,38.75,101103.125,1.1290574,1.0416217,0
630640774,630618168,6780433,18.667988,38.754997,101100.984,1.1290153,1.0416411,0
630684104,630683101,6780433,18.678556,38.75,101100.86,1.129032,1.0416335,0
630770673,630748065,6780433,18.530586,38.760002,101102.625,1.1290156,1.041641,0
630813997,630813002,6780433,18.678556,38.75,101100.86,1.129032,1.0416335,0
630900572,630877988,6780433,18.771038,38.76,101099.734,1.1289833,1.0416559,0
630943885,630942902,6780433,18.63628,38.76,101101.37,1.1290015,1.0416476,0
631030487,631007878,6780433,18.646849,38.76,101101.234,1.129,1.0416483,0
631073876,631072825,6780433,18.781607,38.76,101099.61,1.128982,1.0416565,0
631160372,631137750,6780433,18.699696,38.765,101100.61,1.128975,1.0416597,0
631203673,631202700,6780433,18.63628,38.77,101101.37,1.1289654,1.0416642,0
631290277,631267652,6780433,18.61514,38.77,101101.62,1.1289682,1.0416629,0
631333575,631332602,6780433,18.678556,38.77,101100.87,1.1289598,1.0416667,0
631420191,631397550,6780433,18.76047,38.77,101099.86,1.1289486,1.041672,0
631463559,631462501,6780433,18.992992,38.77,101097.086,1.1289176,1.0416862,0
631550175,631527451,6780433,18.73933,38.77,101100.12,1.1289514,1.0416706,0
631593370,631592400,6780433,18.446033,38.78,101103.64,1.1289545,1.0416692,0
631680023,631657366,6780433,18.675915,38.78,101100.875,1.1289237,1.0416834,0
631723271,631722300,6780433,18.594002,38.77,101101.875,1.128971,1.0416616,0
631809873,631787250,6780433,18.62571,38.78,101101.5,1.1289307,1.0416802,0
631853185,631852212,6780433,18.823883,38.78,101099.11,1.128904,1.0416925,0
631939819,631917169,6780433,18.813316,38.78,101099.234,1.1289053,1.0416919,0
631983074,631982100,6780433,18.718191,38.78,101100.37,1.1289179,1.041686,0
632069712,632047070,6780433,18.675915,38.785,101100.875,1.1289055,1.0416918,0
632113008,632112032,6780433,18.73933,38.78,101100.12,1.1289152,1.0416874,0
632199579,632176959,6780433,18.72876,38.79,101100.25,1.1288805,1.0417033,0
632242873,632241899,6780433,18.73933,38.79,101100.12,1.128879,1.041704,0
632329488,632306849,6780433,18.813316,38.79,101099.234,1.128869,1.0417087,0
632372786,632371800,6780433,18.594002,38.79,101101.875,1.1288986,1.041695,0
632459386,632436775,6780433,18.644207,38.795,101101.25,1.1288735,1.0417066,0
632502671,632501700,6780433,18.61514,38.79,101101.625,1.1288959,1.0416962,0
632589274,632566668,6780433,18.551725,38.795,101102.38,1.1288861,1.0417007,0
632632613,632631600,6780433,18.969212,38.79,101097.35,1.1288481,1.0417184,0
632719173,632696549,6780433,18.604572,38.795,101101.75,1.1288791,1.041704,0
632762593,632761534,6780433,18.76047,38.8,101099.87,1.1288401,1.0417219,0
632849098,632826454,6780433,18.62571,38.809998,101101.5,1.1288221,1.0417303,0
632892371,632891400,6780433,18.823883,38.809998,101099.12,1.1287955,1.0417426,0
632978975,632956350,6780433,18.583433,38.805,101102.0,1.1288458,1.0417193,0
633022314,633021344,6780433,18.654776,38.809998,101101.125,1.1288179,1.0417322,0
633108870,633086249,6780433,18.6125,38.809998,101101.63,1.1288236,1.0417296,0
633152203,633151227,6780433,18.675915,38.8,101100.875,1.1288513,1.0417168,0
633238866,633216168,6780433,18.583433,38.809998,101102.01,1.1288278,1.0417277,0
633282102,633281101,6780433,18.675915,38.809998,101100.875,1.128815,1.0417335,0
633368670,633346050,6780433,18.623068,38.809998,101101.51,1.1288222,1.0417302,0
633411993,633411001,6780433,18.633638,38.809998,101101.375,1.1288207,1.041731,0
633498570,633475950,6780433,18.686483,38.815,101100.75,1.1287956,1.0417426,0
633541873,633540900,6780433,18.549084,38.82,101102.39,1.1287957,1.0417424,0
633628556,633605850,6780433,18.623068,38.82,101101.51,1.128786,1.041747,0
633671770,633670799,6780433,18.59136,38.82,101101.89,1.1287903,1.041745,0
633758372,633735751,6780433,18.6125,38.82,101101.63,1.1287874,1.0417463,0
633801718,633800700,6780433,18.697054,38.82,101100.625,1.1287761,1.0417516,0
633888276,633865667,6780433,18.697054,38.829998,101100.63,1.1287401,1.0417682,0
633931591,633930600,6780433,18.654776,38.82,101101.125,1.1287817,1.0417489,0
634018173,633995550,6780433,18.73933,38.82,101100.125,1.1287706,1.0417541,0
634061470,634060499,6780433,18.845022,38.82,101098.87,1.1287564,1.0417606,0
634148074,634125470,6780433,18.771038,38.829998,101099.74,1.1287302,1.0417727,0
634191370,634190400,6780433,18.845022,38.829998,101098.87,1.1287204,1.0417773,0
634278008,634255387,6780433,18.845022,38.829998,101098.87,1.1287204,1.0417773,0
634321385,634320318,6780433,18.654776,38.84,101101.125,1.1287093,1.0417824,0
634407869,634385250,6780433,18.821241,38.835,101099.125,1.1287051,1.0417843,0
634451203,634450210,6780433,19.201736,38.829998,101094.586,1.1286725,1.0417993,0
634537774,634515150,6780433,19.064337,38.835,101096.23,1.1286728,1.0417992,0
634581114,634580140,6780433,19.074903,38.829998,101096.1,1.1286894,1.0417916,0
634667669,634645052,6780433,19.00092,38.84,101096.984,1.1286631,1.0418037,0
634711008,634710034,6780433,19.096043,38.84,101095.85,1.1286505,1.0418094,0
