timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
630873026,630678102,6780433,18.420013,0.115403414,-0.4765873,12.367991,0.0020405313
631133026,630937903,6780433,18.40168,0.11540482,-0.496603,12.368607,0.0022154166
631913022,631717300,6780433,18.393549,0.11588357,-0.5192623,12.370376,0.0024218555
632433021,632236900,6780433,18.365376,0.115830526,-0.35572815,12.368563,0.0011367756
632883029,632691550,6780433,18.339125,0.11570628,-0.46746445,12.368223,0.0019631223
633403024,633211169,6780433,18.309542,0.11566611,-0.46137428,12.368234,0.0019123025
633923025,633730751,6780433,18.279032,0.115631565,-0.40184212,12.368245,0.0014506422
634383170,634185401,6780433,18.262356,0.11568907,-0.15001869,12.368192,0.00020218178
634903032,634705035,6780433,18.260836,0.11566306,0.10571098,12.368185,0.000100390294
635423020,635224600,6780433,18.289688,0.11564073,0.6846485,12.368242,0.0042109964
635873075,635679250,6780433,18.331308,0.11554011,0.9812832,12.368053,0.008650572
636393026,636198850,6780433,18.366661,0.11552334,0.624918,12.368092,0.0035083333
636913029,636718467,6780433,18.406185,0.115508944,0.5753994,12.368127,0.0029743519
637433023,637238064,6780433,18.491426,0.11549657,1.5438576,12.36816,0.021412475
637883022,637692701,6780433,18.580864,0.11540502,1.3244133,12.367955,0.015758201
638403025,638212301,6780433,18.687702,0.11540726,1.3715935,12.368001,0.01690086
638923021,638731900,6780433,18.786423,0.11540916,0.86896133,12.368049,0.006783553
639383020,639186550,6780433,18.858486,0.115494326,1.211113,12.368046,0.013177278
639903022,639706168,6780433,18.936676,0.115495786,1.0091534,12.368092,0.009148906
640423068,640225750,6780433,19.011684,0.11549702,1.0749054,12.368138,0.010379911
640873043,640680400,6780433,19.087479,0.11541426,1.1071148,12.367944,0.011011469
641393023,641200031,6780433,19.15767,0.11541541,0.56635475,12.368309,0.0028815374
641913022,641719601,6780433,19.219864,0.1154163,0.88451576,12.368133,0.00702853
642433063,642239212,6780433,19.28177,0.11541698,1.0419693,12.3681,0.009753587
642893023,642693849,6780433,19.338736,0.11550115,0.99858093,12.368076,0.008958223
643413022,643213466,6780433,19.38196,0.115501665,0.704504,12.368121,0.004458828
643933036,643733066,6780433,19.423634,0.11550206,0.47795486,12.368169,0.0020522291
644383024,644187701,6780433,19.454723,0.115418665,0.44345093,12.36797,0.0017666486
644903053,644707301,6780433,19.488346,0.11543076,0.4442215,12.368027,0.0017727857
645423021,645226901,6780433,19.521244,0.115441136,0.47273064,12.368082,0.002007625
645873040,645681550,6780433,19.545034,0.11536533,0.38689613,12.367893,0.0013447779
646393023,646201168,6780433,19.493935,0.115373164,-1.3347721,12.367928,0.016005704
646913023,646720751,6780433,19.541574,0.11538007,1.9981441,12.368873,0.03586584
647433023,647240386,6780433,19.651361,0.11538728,1.514101,12.371338,0.020589724
647893024,647695034,6780433,19.745815,0.115478225,1.3487377,12.374821,0.016333288
648413022,648214601,6780433,19.705576,0.11548842,-1.396492,12.380432,0.01750244
648933021,648734211,6780433,19.606304,0.115501724,-1.1915436,12.388237,0.012734088
649383056,649188851,6780433,19.53494,0.11543306,-1.0551033,12.396789,0.00997788
649903269,649708450,6780433,19.463078,0.11545504,-0.94677734,12.409102,0.0080262525
650423264,650228050,6780433,19.392324,0.11548304,-0.9008541,12.423953,0.007257827
650873271,650682700,6780433,19.405739,0.11539518,0.3003292,12.368788,0.000810262
651393249,651202300,6780433,19.428846,0.115399085,0.28024292,12.368207,0.0007055374
651853735,651656964,6780433,19.427296,0.11548563,-0.25806236,12.368465,0.00059826137
652433235,652241536,6780433,19.400015,0.11540508,-0.720726,12.368324,0.0046664546
652893250,652696198,6780433,19.351141,0.115490854,-0.86941147,12.368249,0.0067904727
653413250,653215769,6780433,19.281252,0.11549291,-1.1104546,12.368252,0.011077729
